t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.79,0.6371206175426664,-0.5436173226232626,0.0,1.4135608034351348,0.004653119276159412,0.0,-1.8959996709355287,8.281807481086421,0.0,-11.17038995336077,0.5382879506172742,0.0,62.468314951989036,-243.3933053497943,0.0,0.0
0.8,0.6511595898205571,-0.5431567124166752,0.0,1.3940526635752095,0.08745771315941608,0.0,-2.004594277821739,8.275089224702096,0.0,-10.549997688861025,-1.874866272794506,0.0,61.58846579646777,-239.14924507458855,0.0,0.0
0.81,0.6649981539907001,-0.5418687925637,0.0,1.3734894451549997,0.170075196328334,0.0,-2.1070311442777787,8.24446053038889,0.0,-9.93906309722222,-4.242902319444461,0.0,60.575878703703715,-234.36679537037043,0.0,0.0
0.8200000000000001,0.6786260655224767,-0.5397566219479143,0.0,1.3519322303467554,0.2522688107626905,0.0,-2.20341157409673,8.190399786848573,0.0,-9.338940608099707,-6.560350056230732,0.0,59.42514361711249,-229.0287084747943,0.0,0.0
0.8300000000000001,0.6920336854138089,-0.5368256021947874,0.0,1.3294410196616366,0.3338068587105629,0.0,-2.2938506858710572,8.11344094650206,0.0,-8.751038751714676,-8.821566872428,0.0,58.13085048010974,-223.11773662551445,0.0,0.0
0.84,0.7052119686747913,-0.5330834242620649,0.0,1.3060745910966927,0.41446326694940083,0.0,-2.3784779539982637,8.014175250265627,0.0,-8.17682015885417,-11.0207376796875,0.0,56.68758923611113,-216.61663206018528,0.0,0.0
0.85,0.7181524513757436,-0.5285400093013042,0.0,1.281890353871781,0.4940181682948628,0.0,-2.4574377496865574,7.8932529523271615,0.0,-7.617801560871058,-13.151874912037037,0.0,55.089949828532255,-209.508147016461,0.0,0.0
0.86,0.73084723620558,-0.5232074436180824,0.0,1.2569441967564339,0.5722585003574094,0.0,-2.5308898819604986,7.75138504492239,0.0,-7.075553789684072,-15.208818525880922,0.0,53.33252220078877,-201.77503373199596,0.0,0.0
0.87,0.7432889764863999,-0.5170999075584,0.0,1.2312903309866665,0.6489786215466666,0.0,-2.599010138666667,7.589344983111112,0.0,-6.5517017777777795,-17.185236000000003,0.0,51.40989629629631,-193.40004444444452,0.0,0.0
0.88,0.7554708585901946,-0.5102335981488012,0.0,1.204981127771727,0.7239809443235463,0.0,-2.6619908274793174,7.407970409553434,0.0,-6.04792455820259,-19.07462233555171,0.0,49.31666205847052,-184.36593139146098,0.0,0.0
0.89,0.7673865827035701,-0.502626645317735,0.0,1.178066950390793,0.7970765857001307,0.0,-2.7200413169060362,7.208164879286009,0.0,-5.565955264574761,-20.870300056069972,0.0,47.04740943072703,-174.65544681069966,0.0,0.0
0.9,0.7790303418863899,-0.4942990215256789,0.0,1.1505959808796091,0.8680860349873181,0.0,-2.7733885772934035,6.990899584498263,0.0,-5.10758113107639,-22.56541920746529,0.0,44.596728356481485,-164.25134293981486,0.0,0.0
0.91,0.7903967993702307,-0.4852724446315457,0.0,1.1226140413070687,0.9368398387902335,0.0,-2.8222777218326485,6.757215079308643,0.0,-4.6746434924554165,-24.152957358024715,0.0,41.95920877914952,-153.13637201646094,0.0,0.0
